t,chair_x,chair_y,chair_yaw,human5_x,human5_y,human6_x,human6_y,human7_x,human7_y,human8_x,human8_y
0.0,-0.9628863334655762,1.7447736263275146,0.007535161896084791,nan,nan,nan,nan,nan,nan,nan,nan
0.04862689971923828,-0.9629017114639282,1.7448234558105469,0.007478524279022777,nan,nan,nan,nan,nan,nan,nan,nan
0.0963137149810791,-0.9628238081932068,1.7448534965515137,0.0074051880639053914,nan,nan,nan,nan,nan,nan,nan,nan
0.14617419242858887,-0.9627217650413513,1.7448463439941406,0.0073715781757299195,nan,nan,nan,nan,nan,nan,nan,nan
0.20068979263305664,-0.962629497051239,1.7448011636734009,0.007378484937311958,nan,nan,nan,nan,nan,nan,nan,nan
0.2460331916809082,-0.9626234769821167,1.744765043258667,0.007323429053578367,nan,nan,nan,nan,nan,nan,nan,nan
0.29603123664855957,-0.9626754522323608,1.744732141494751,0.007353019838006665,nan,nan,nan,nan,nan,nan,nan,nan
0.34607696533203125,-0.9627602100372314,1.7447010278701782,0.007371701823402446,nan,nan,nan,nan,nan,nan,nan,nan
0.4019894599914551,-0.9628579020500183,1.7446956634521484,0.007433082459558914,nan,nan,nan,nan,nan,nan,nan,nan
0.4462010860443115,-0.9629167318344116,1.7447381019592285,0.007414513426752755,nan,nan,nan,nan,nan,nan,nan,nan
0.4960782527923584,-0.9629102945327759,1.7447885274887085,0.0073961230871891805,nan,nan,nan,nan,nan,nan,nan,nan
0.5513651371002197,-0.9628317952156067,1.7447748184204102,0.007400351500249804,nan,nan,nan,nan,nan,nan,nan,nan
0.5991687774658203,-0.9627978205680847,1.744742751121521,0.0074042740373714035,nan,nan,nan,nan,nan,nan,nan,nan
0.6461355686187744,-0.9627737998962402,1.744709849357605,0.007456398885500092,nan,nan,nan,nan,nan,nan,nan,nan
0.6962428092956543,-0.9627746939659119,1.7447201013565063,0.007506983470191624,nan,nan,nan,nan,nan,nan,nan,nan
0.7467930316925049,-0.9627686738967896,1.7447080612182617,0.007549409561654294,nan,nan,nan,nan,nan,nan,nan,nan
0.7960615158081055,-0.9627903699874878,1.7447595596313477,0.007422228417575382,nan,nan,nan,nan,nan,nan,nan,nan
0.8462488651275635,-0.9628224968910217,1.7447624206542969,0.007365209663507882,nan,nan,nan,nan,nan,nan,nan,nan
0.8960998058319092,-0.9628081321716309,1.7447620630264282,0.007357634539538516,nan,nan,nan,nan,nan,nan,nan,nan
0.9473187923431396,-0.9627971053123474,1.7447571754455566,0.00740498936210649,nan,nan,nan,nan,nan,nan,nan,nan
0.9960734844207764,-0.962774932384491,1.7447376251220703,0.007401691490718424,nan,nan,nan,nan,nan,nan,nan,nan
1.0508182048797607,-0.9627905488014221,1.74472975730896,0.0074389720584609985,nan,nan,nan,nan,nan,nan,nan,nan
1.1017940044403076,-0.9627767205238342,1.7447257041931152,0.0073499808693169395,nan,nan,nan,nan,nan,nan,nan,nan
1.1460623741149902,-0.9626597166061401,1.744748830795288,0.007091694483133927,nan,nan,nan,nan,nan,nan,nan,nan
1.1972272396087646,-0.9625393748283386,1.7448253631591797,0.006309270505590199,nan,nan,nan,nan,nan,nan,nan,nan
1.2466824054718018,-0.9621557593345642,1.744985580444336,0.004722687845764251,nan,nan,nan,nan,nan,nan,nan,nan
1.30094313621521,-0.9612424373626709,1.7450891733169556,0.003245276656966803,nan,nan,nan,nan,nan,nan,nan,nan
1.3474185466766357,-0.9589784145355225,1.7450395822525024,0.001455861873421626,nan,nan,nan,nan,nan,nan,nan,nan
1.3966681957244873,-0.9569562673568726,1.7450944185256958,-0.00030584940688117276,nan,nan,nan,nan,nan,nan,nan,nan
1.4460883140563965,-0.95399010181427,1.745318055152893,-0.004387759175769789,nan,nan,nan,nan,nan,nan,nan,nan
1.49605131149292,-0.9510034322738647,1.7454558610916138,-0.008128573517690472,nan,nan,nan,nan,nan,nan,nan,nan
1.5463061332702637,-0.9482858180999756,1.7455551624298096,-0.012261885773384221,nan,nan,nan,nan,nan,nan,nan,nan
1.5975258350372314,-0.9442650675773621,1.7457679510116577,-0.01865975261687242,nan,nan,nan,nan,nan,nan,nan,nan
1.6461513042449951,-0.9413077235221863,1.7462873458862305,-0.0255014156842445,nan,nan,nan,nan,nan,nan,nan,nan
1.6960721015930176,-0.9368417263031006,1.7467381954193115,-0.03521918701410982,nan,nan,nan,nan,nan,nan,nan,nan
