t,chair_x,chair_y,chair_yaw,human5_x,human5_y,human6_x,human6_y,human7_x,human7_y,human8_x,human8_y
0.0,-0.9327067136764526,1.741193175315857,0.008556561535986674,0.5266793370246887,-2.9186038970947266,1.6242762804031372,3.241868734359741,2.1038732528686523,0.013928044587373734,-1.0027053356170654,-1.443050742149353
0.049080610275268555,-0.9331086277961731,1.7411178350448608,0.008438096689416278,0.5545783042907715,-2.905498743057251,1.6256169080734253,3.239687204360962,2.1099841594696045,-0.008467410691082478,-1.0101711750030518,-1.439180850982666
0.09924101829528809,-0.9335336685180664,1.7409422397613525,0.008434010949480332,0.5785454511642456,-2.8923144340515137,1.6265212297439575,3.237881660461426,2.114675998687744,-0.02740478701889515,-1.0177894830703735,-1.4364988803863525
0.14908075332641602,-0.9334965348243713,1.7410229444503784,0.008725009405591294,0.6052113771438599,-2.8764898777008057,1.6272987127304077,3.2358858585357666,2.1200175285339355,-0.048253800719976425,-1.0280040502548218,-1.4351810216903687
0.19917678833007812,-0.9330317378044128,1.7410542964935303,0.00862787373191711,0.6287974715232849,-2.862337350845337,1.627879023551941,3.2342283725738525,2.1256983280181885,-0.06525468081235886,-1.0385937690734863,-1.4384407997131348
0.24918675422668457,-0.9326122999191284,1.7409979104995728,0.00879421393861241,0.6559975147247314,-2.8477377891540527,1.6283000707626343,3.2325711250305176,2.133068323135376,-0.08100564777851105,-1.0520503520965576,-1.4479687213897705
0.2992582321166992,-0.9324814081192017,1.7410510778427124,0.00878704219249994,0.6773273348808289,-2.838660955429077,1.628535270690918,3.2315597534179688,2.1390223503112793,-0.09024427086114883,-1.0627148151397705,-1.4573314189910889
0.34943079948425293,-0.9324077367782593,1.7409894466400146,0.008506628853703818,0.7041321396827698,-2.829744577407837,1.6288152933120728,3.230729579925537,2.146866798400879,-0.09849890321493149,-1.0760819911956787,-1.469504952430725
0.3992795944213867,-0.9325516819953918,1.740901231765747,0.008613092709887141,0.7395058870315552,-2.822627067565918,1.629072904586792,3.2297215461730957,2.1578636169433594,-0.10454612225294113,-1.094970703125,-1.4844790697097778
0.4497041702270508,-0.932782769203186,1.7409605979919434,0.007749944446745632,0.7652366161346436,-2.8206870555877686,1.6291297674179077,3.228969097137451,2.166395664215088,-0.10564437508583069,-1.111070990562439,-1.4940265417099
0.49910736083984375,-0.9331340193748474,1.7411797046661377,0.007495663587555937,0.789944589138031,-2.8209877014160156,1.6292037963867188,3.2281947135925293,2.1743502616882324,-0.1043337732553482,-1.1284695863723755,-1.5015758275985718
0.5501182079315186,-0.9331638216972351,1.741201639175415,0.007642682303943193,0.8166666626930237,-2.823425531387329,1.6294324398040771,3.2274727821350098,2.1815872192382812,-0.10100911557674408,-1.1467243432998657,-1.5070147514343262
